projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-4.0484548,-5.247945,PCA,3,Basal-like,0.06926203790819399,-0.3830721157245466,0.46255857010355883
0.7213509,-4.709922,PCA,0,Luminal A,0.30074596214424654,-0.7833478374081146,-0.8221858762307613
-2.7875385,0.6348281,PCA,3,Basal-like,-1.0747796389148097,1.2721273520663636,0.01161090403399335
19.246422,0.42630482,PCA,1,Luminal B,1.7635008679017536,0.5952841294066913,-1.0783114348695626
-6.3366976,5.391742,PCA,3,Basal-like,-1.022089905725058,-0.6339452479895336,0.23739404005076706
-5.8433833,11.388329,PCA,4,Normal-like,-1.031721896994594,0.16788026781198595,-0.10324608310123645
20.603306,2.143824,PCA,1,Luminal B,1.5748342180344772,0.9033223642918999,-1.3597924067330205
-4.2720776,-4.4855494,PCA,3,Basal-like,-0.08940747768326394,-0.4164127747372336,0.3258497211497692
0.930055,-4.4564548,PCA,4,Normal-like,0.5235614787210917,-0.6306235991259315,-0.6584117135306456
-5.4162183,5.513351,PCA,4,Normal-like,-0.7295815679329983,-0.154700407953194,-0.04976597279167893
1.8698884,-5.1375895,PCA,0,Luminal A,0.30312867323022613,-0.27194836529127886,-0.0016895143713278361
-3.5420463,-4.6567087,PCA,3,Basal-like,0.13758571141889356,-0.23973458360873412,0.38365400219637513
0.12005764,-5.147768,PCA,0,Luminal A,0.16850428578519833,0.4221304801465768,-0.37017781514582404
-2.942903,-5.886591,PCA,3,Basal-like,0.14146458889845662,-0.06371115458482565,0.2520108848881651
-6.716085,-2.6257744,PCA,3,Basal-like,-0.8035733488141061,-0.6174359698199937,0.8572228337124808
21.885288,2.1590137,PCA,1,Luminal B,0.6440865941109267,1.2097737101068902,-1.6286832002352236
20.12535,0.6764059,PCA,1,Luminal B,2.094809243610416,0.21299502242399165,-1.907443704659221
-4.029294,8.16077,PCA,4,Normal-like,-0.6352739633940399,1.2508153256774015,-0.12704380395490114
7.7133718,7.1324897,PCA,2,HER2-enriched,-0.40754904572292805,1.8457394534007003,-0.38911913481414045
-2.0951147,-5.5072846,PCA,3,Basal-like,-0.16707817447755485,-0.5503656825903248,-0.611510098361788
11.500033,4.387489,PCA,2,HER2-enriched,0.21786742996656483,1.7826551321487216,-1.1041102754698833
-5.690389,8.041128,PCA,4,Normal-like,-0.6820597001211294,0.2102778746378156,0.1467272250907305
-5.258519,-4.3192515,PCA,3,Basal-like,0.09702277569161795,0.0373337530511965,0.03352860084580609
-5.0844293,-0.1278801,PCA,3,Basal-like,-0.4929408645851533,-0.22990167148338678,0.21164403979943433
-5.2331853,-2.183643,PCA,3,Basal-like,-0.7974320461082886,-0.006697277069375854,0.1926853676914222
-2.0943875,-5.781334,PCA,3,Basal-like,-0.1876611239500302,-1.1190817923845868,-1.5515921743051204
-4.29137,-6.0000415,PCA,3,Basal-like,0.29618686530571375,-0.3567266742823358,0.9808130591111648
